ADJ	NN	context	final_attribute	final_semclass	Status
alt	Amerikaner	Der Kopf der Honda-Rennfahrergruppe war der 30 Jahre alte Amerikaner Bill ( William Hunt ) , dem General Manager von American Honda und Gewinner des Asama-Rennens in Japan 1958.	context	context	context
alt	Angeklagte	Sieben der neun zwischen 20 und 31 Jahre alten Angeklagten wurden im Juli 2011 wegen " Mitgliedschaft in einer Terrorgruppe " zu hohen Haftstrafen verurteilt und zwei freigesprochen .	context	context	context
alt	Auto	Zumindest der sehr touristische Teil , der aus kleinen alten Häusern , vielen bunten Bäumen , Cafés alten Autos und sich tot stellenden Hunden besteht .	Alter	Artefakt	free
alt	Bild	Er hatte seinerzeit viele Fotos gemacht und so hofft Eva auf alten Bildern Hinweise zu finden und die führen nun ausgerechnet zu ihrem Nachbarn Henry Schmitz .	Alter	Artefakt	collocation
alt	Baby	1776 harrten noch sieben Frauen und ein acht Monate altes Baby auf der Insel aus .	context	context	context
alt	Buch	Ebenso bei der Restaurierung alter Bücher , um Lücken im Papier und Fehlstellen zu beheben bzw. auszugleichen , bei der Herstellung von japanischen Shōji-Schiebewänden sowie der Erstellung von Oshigata .	Alter	Artefakt	free
alt	Bekannte	Antonelli sieht sie auf dem Weg in einen Zooladen , folgt ihr und trifft dort einen alten Bekannten , der früher ebenfalls ein Mafioso war .	Dauer	Mensch	collocation
alt	Film	Gerade als sie sich einen alten Film aus dem 21. Jahrhundert anschaut ( es handelt sich um eine Dramatisierung der Erlebnisse von Cavendish ) , stürmen Polizeikräfte die Uni .	Alter	Artefakt	free
alt	Brauch	Barbarazweige sind Zweige von Obstbäumen , die nach einem alten Brauch am 4. Dezember , dem liturgischen Gedenktag der hl .	Dauer	Kognition	collocation
alt	Foto	Er fühle sich beim Betrachten des Films wie beim Ansehen von alten Fotos , " auf denen man die ganze Lebensgeschichte der Abgebildeten erkennen kann . "	Alter	Artefakt	free
alt	Gebäude	Er fing an , im Sommer vor Arbeitsbeginn die schönen alten Gebäude zu zeichnen und zu aquarellieren .	Alter	Artefakt	free
alt	Bundesland	In den alten Bundesländern war die Züchtung des Merinofleischschafes vorrangig auf die Verbesserung der Mastleistung und der Schlachtkörperqualität ausgerichtet .	term	term	term
alt	Bundesregierung	 Die alte Bundesregierung hatte ja stets behauptet , nur eine Minimalumsetzung der EU-Richtlinie vorgenommen zu haben ,  ergänzt Kai-Uwe Steffens vom Arbeitskreis . "	Zeit	Gruppe	collocation
alt	Bundesrepublik	In der alten Bundesrepublik hingegen stellte der § 130 StGB die  Anreizung zum Klassenkampf  unter Strafe , ab 1970 die  Volksverhetzung  .	Zeit	Gruppe	collocation
alt	Haus	Das heutige Hauptgebäude stammt aus den ersten Jahren des 19. Jahrhunderts , als das alte Haus erweitert wurde .	Alter	Artefakt	free
alt	Deutsche	Die Konzeption des Amtes als ein landesherrlicher Verwaltungsbezirk hat sich im Alten Deutschen Reich entwickelt .	Eigenname	Eigenname	Eigenname
alt	Lied	Ältere Lieder wie " Supposed To Grow Old " hatte er im Alter von 15 Jahren geschrieben .	Alter	Artefakt	free
alt	Modell	Mit ihrem Fünfganggetriebe ( ältere Modelle ) bzw. Sechsganggetriebe ( jüngere Modelle ) gilt sie bis heute als sparsam und geeignet als Anfängermaschine .	Alter	Artefakt	free
