adjective noun attribute
intense anxiety intensity
dark undercurrent manner
sick child health
powerful kick intensity
hollow tree shape
sharp point shape
sacred name social
lively discussion manner
ungrateful task manner
dutiful child character
generous donation quantity
short flight duration
active interest manner
ordinary decency relation
longstanding friendship duration
lifelong study duration
close formation location
cold storm temperature
imperfect understanding quality
cool drink temperature
special reason relation
social behavior social
good knife evaluation
credible testimony certainty
square deal manner
simple game difficulty
free choice social
unhappy truth emotion
sympathetic word manner
cool air temperature
auspicious beginning evaluation
heavy aircraft weight
broad shoulder dimension
obedient soldier character
cold air temperature
noble deed manner
atrocious crime emotion
deep cavity dimension
extraordinary session relation
courageous example character
clear case certainty
regular bedtime relation
temporary housing duration
dark corner light
striking resemblance intensity
deaf adult health
snotty nose state
milky glass surface
bad headache intensity
specific application relation
angular shape shape
deaf-mute child health
beautiful theory evaluation
right answer quality
conventional wisdom social
sloppy workmanship manner
deep indentation dimension
malign spirit manner
difficult task difficulty
sick worker health
true meaning quality
square window shape
awkward time evaluation
hot breath temperature
ordinary day relation
extreme example manner
final answer relation
rough time manner
intense fire intensity
dark day emotion
light ring weight
big man power
fair fight manner
dry land state
effective entrance power
narrow bridge dimension
clear water light
good joke evaluation
past youth time
easy victory difficulty
unpopular idea social
complete set completeness
sore trial emotion
prominent citizen power
sensible person character
low price intensity
inadequate income quantity
interim agreement duration
deficient education manner
right man quality
free country social
laudable motive evaluation
short holiday duration
big island dimension
immoderate laughter intensity
perfect circle quality
unkind remark manner
treble voice sound
fiery temper emotion
clear explanation certainty
complete gentleman quality
sound explanation manner
popular thought relation
grievous crime emotion
explicit instruction certainty
ultimate achievement intensity
bright future evaluation
dominant partner power
thick cream consistency
genial host emotion
natural environment naturalness
careless mistake manner
coarse weave texture
familiar figure relation
incredible speed intensity
cheerful greeting emotion
modern history time
lawful method validity
sacred bread social
adequate training manner
wrong assumption quality
regular meal continuity
heavy thing weight
distant village location
short money quantity
big business intensity
unhappy time emotion
ugly face appearance
longtime companion duration
fast film speed
everyday scene relation
cool breeze temperature
honorable life manner
thick smoke consistency
striking thing manner
same dimension relation
fast track speed
complete wardrobe completeness
light body weight
immediate reply time
straight road shape
paltry wage quantity
simple problem difficulty
slow lane speed
far journey location
short story duration
odorless gas smell
far side location
foreign nation relation
harsh cry manner
hot stove temperature
curt reply character
heavy load weight
confident speaker character
handicapped baby health
irregular behavior relation
tall tree dimension
cool wind temperature
affable smile emotion
sharp knife shape
comprehensive survey completeness
perfect manner quality
low ceiling dimension
irresponsible action character
evil deed evaluation
thin line dimension
critical shortage intensity
sincere regret manner
confident reply character
ample supply quantity
clean animal state
incessant noise continuity
solid comfort evaluation
immediate influence relation
long-term reconstruction duration
mild pain intensity
benign ruler character
dreadful manner evaluation
complete accounting completeness
right bank location
soft voice manner
rapid rise speed
dominant role power
fine rain texture
thick soup consistency
near approach relation
serious student character
powerful arm constitution
mistaken view quality
thin oil consistency
minuscule amount quantity
permanent value duration
sincere friendship manner
unswerving allegiance stability
awful voice evaluation
soft music manner
small car dimension
lively party manner
implicit agreement certainty
wrong road quality
distant sound location
low bow dimension
different conclusion relation
deep voice sound
spectacular rise manner
perfect happiness quality
dark shadow light
careless remark manner
hot argument emotion
senseless act manner
competent performance manner
deep snow dimension
cool reception emotion
