adjective noun attribute
intense disquiet intensity
intense insecurity intensity
intense worry intensity
intense anxiety intensity
intense care intensity
intense concern intensity
intense disquiet intensity
intense insecurity intensity
intense worry intensity
intense anxiety intensity
intense care intensity
intense concern intensity
mild anxiety intensity
mild concern intensity
mild trouble intensity
solid oak shape
solid ash shape
solid teak shape
solid beech shape
solid mahogany shape
sharp show shape
sharp end shape
sharp component shape
sharp take shape
sharp detail shape
sharp barb shape
sharp control shape
sharp direction shape
sharp peak shape
sharp command shape
sharp signal shape
sharp tip shape
sharp focus shape
sharp head shape
sharp summit shape
sharp center shape
sharp spike shape
sharp object shape
dull show shape
dull end shape
dull period shape
dull head shape
dull fact shape
dull level shape
dull start shape
sharp show shape
sharp end shape
sharp component shape
sharp take shape
sharp detail shape
sharp barb shape
sharp control shape
sharp direction shape
sharp peak shape
sharp command shape
sharp signal shape
sharp tip shape
sharp focus shape
sharp head shape
sharp summit shape
sharp center shape
sharp spike shape
sharp object shape
low terms intensity
low damage intensity
low valuation intensity
low toll intensity
low worth intensity
low cost intensity
low reward intensity
sacred title social
challenging endeavour difficulty
challenging project difficulty
challenging assignment difficulty
challenging venture difficulty
challenging endeavor difficulty
challenging marathon difficulty
challenging undertaking difficulty
challenging proposition difficulty
challenging labor difficulty
irresponsible individual character
lively talk manner
lively discourse manner
lively speech manner
lively conference manner
lively talks manner
lively dialogue manner
lively communication manner
lively discussion manner
lively detail manner
dull speech manner
lively talk manner
lively discourse manner
lively speech manner
lively conference manner
lively talks manner
lively dialogue manner
lively communication manner
lively discussion manner
lively detail manner
low elevation dimension
usual penalty relation
clean service manner
clean operation manner
clean care manner
clean washing manner
clean wash manner
clean shop manner
clean action manner
clean lab manner
clean writing manner
clean laundry manner
clean output manner
clean laboratory manner
generous benefaction quantity
generous gift quantity
generous donation quantity
generous offering quantity
generous benefaction quantity
generous gift quantity
generous donation quantity
generous offering quantity
short sailing duration
short pass duration
short solo duration
short sailing duration
short pass duration
short solo duration
long sailing duration
long glide duration
long pass duration
long solo duration
active enthusiasm manner
active pursuit manner
active pastime manner
active involvement manner
active welfare manner
active interest manner
active recreation manner
active concern manner
active benefit manner
active enthusiasm manner
active pursuit manner
active pastime manner
active involvement manner
active welfare manner
active interest manner
active recreation manner
active concern manner
active benefit manner
dormant interest manner
late evening time
late period time
early evening time
early period time
early daylight time
middle period time
late evening time
late period time
late show time
late movie time
late product time
late production time
early show time
early feature time
early silents time
early talkie time
early movie time
early documentary time
early product time
early production time
early picture time
middle picture time
late show time
late movie time
late product time
late production time
lifelong learning duration
lifelong study duration
close split location
close settlement location
close action location
close range location
close formation location
close mouth location
close object location
far range location
far shore location
far flank location
close split location
close settlement location
close action location
close range location
close formation location
close mouth location
close object location
imperfect grasp quality
imperfect appreciation quality
imperfect sympathy quality
imperfect apprehension quality
imperfect realization quality
imperfect grasp quality
imperfect appreciation quality
imperfect sympathy quality
imperfect apprehension quality
imperfect realization quality
clean bowl state
clean crockery state
comfortable period emotion
comfortable evening emotion
unsocial behaviour social
good weapon evaluation
good knife evaluation
good weapon evaluation
good knife evaluation
