adjective noun attribute
intense anxiety intensity
sick child health
powerful kick intensity
pure tone manner
sacred name social
responsible adult character
lively discussion manner
unusual punishment relation
dutiful child character
dirty work manner
generous donation quantity
short flight duration
active interest manner
late evening time
ordinary decency relation
longstanding friendship duration
late movie time
lifelong study duration
close formation location
cold storm temperature
imperfect understanding quality
dirty money validity
special reason relation
social behavior social
credible testimony certainty
square deal manner
simple game difficulty
free choice social
unhappy truth emotion
sympathetic word manner
auspicious beginning evaluation
broad shoulder dimension
obedient soldier character
exceptional kindness intensity
accurate measurement accuracy
noble deed manner
superior officer social
atrocious crime emotion
axiomatic truth certainty
pure oxygen composition
extraordinary session relation
courageous example character
regular bedtime relation
superior wisdom evaluation
clear-cut evidence certainty
temporary housing duration
striking resemblance intensity
deaf adult health
bad headache intensity
specific application relation
angular shape shape
negative evaluation evaluation
deaf-mute child health
beautiful theory evaluation
conventional wisdom social
sloppy workmanship manner
conclusive proof certainty
malign spirit manner
sick worker health
disobedient child character
normal curiosity relation
willing helper character
true meaning quality
square window shape
awkward time evaluation
extreme example manner
negative outlook evaluation
negative reaction evaluation
intense fire intensity
universal experience completeness
other person relation
moderate price intensity
light ring weight
unique ability relation
fair fight manner
late breakfast time
effective entrance power
narrow bridge dimension
elevated terrain dimension
vital interest importance
good joke evaluation
unique accent relation
left side location
unpopular idea social
sore trial emotion
prominent citizen power
outrageous amount intensity
sensible person character
low price intensity
notorious district social
inadequate income quantity
cardinal rule importance
squat tower dimension
interim agreement duration
deficient education manner
thorough search manner
direct exposure relation
laudable motive evaluation
short holiday duration
moderate success intensity
licensed pharmacist validity
significant contribution importance
immoderate laughter intensity
inactive life manner
direct sunlight relation
poor light evaluation
inappropriate pressure quality
other side relation
unkind remark manner
atypical behavior relation
whole loaf completeness
reputable business social
fiery temper emotion
complete gentleman quality
sound explanation manner
supreme sacrifice intensity
popular thought relation
grievous crime emotion
explicit instruction certainty
quick reaction time
ultimate achievement intensity
intrusive presence manner
bitter word emotion
dominant partner power
thick cream consistency
genial host emotion
natural environment naturalness
indirect light relation
careless mistake manner
coarse weave texture
familiar figure relation
major portion quantity
incredible speed intensity
cheerful greeting emotion
lawful method validity
fascinating story emotion
adequate training manner
wrong assumption quality
regular meal continuity
distant village location
short money quantity
unhappy time emotion
uncomfortable chair manner
shabby treatment manner
longtime companion duration
everyday scene relation
late flight time
honorable life manner
thick smoke consistency
same dimension relation
complete wardrobe completeness
creative imagination manner
nasty trick emotion
paltry wage quantity
far journey location
short story duration
odorless gas smell
far side location
foreign nation relation
harsh cry manner
proper place quality
confident speaker character
lukewarm coffee temperature
handicapped baby health
irregular behavior relation
accurate reproduction accuracy
direct flight relation
affable smile emotion
whole wardrobe completeness
comprehensive survey completeness
perfect manner quality
low ceiling dimension
irresponsible action character
evil deed evaluation
bold adventure manner
critical shortage intensity
sincere regret manner
unusual ability relation
ample supply quantity
unfair method manner
reputable scientist social
solid comfort evaluation
erroneous conclusion quality
immediate influence relation
long-term reconstruction duration
uncommon bird relation
benign ruler character
dreadful manner evaluation
complete accounting completeness
whole hog completeness
right bank location
concise explanation manner
fine rain texture
thick soup consistency
accurate accounting accuracy
powerful arm constitution
mistaken view quality
grave decision importance
thin oil consistency
minuscule amount quantity
permanent value duration
sincere friendship manner
silent consent certainty
large city dimension
unswerving allegiance stability
soft music manner
lively party manner
implicit agreement certainty
low bow dimension
different conclusion relation
other employment relation
valuable friend evaluation
potent toxin function
perfect happiness quality
careless remark manner
vertical pillar dimension
terrific battle intensity
minor share quantity
senseless act manner
timid response character
competent performance manner
mild fever intensity
powerful bomb function
average merit relation
cordial greeting emotion
extinct volcano function
grave responsibility importance
meager fare quantity
pleasant scene evaluation
handy gadget function
unpopular war social
moderate size intensity
interior decoration location
general assistance relation
coarse meal texture
incorrect calculation quality
comprehensive coverage completeness
extraordinary achievement intensity
powerful drug function
varicose vein health
fractional share completeness
true story quality
perfect specimen quality
faithful service character
beautiful painting evaluation
standard size relation
generous portion quantity
massive sculpture dimension
friendly advice manner
reasonable price intensity
transient beauty duration
total disaster intensity
fundamental error importance
benign influence evaluation
flagrant violation intensity
independent judgment social
scanty harvest quantity
innovative work manner
huge wave dimension
jumbo jet dimension
jumbo shrimp dimension
ominous silence evaluation
low hill dimension
extraordinary capacity intensity
thin soup consistency
inclined plane dimension
convenient excuse quality
direct link relation
dire emergency intensity
troublesome situation manner
unnatural interest relation
sociable occasion manner
false tale quality
inaccurate translation accuracy
long life duration
casual correspondence continuity
ultimate goal intensity
innermost feeling manner
intelligent life intelligence
unpolluted stream composition
happy smile emotion
potent weapon function
nasty shock emotion
cold finger temperature
poor morale evaluation
common knowledge relation
bad shape manner
dependent child social
extraordinary authority intensity
indirect path relation
longstanding conflict duration
permanent address duration
meritorious conduct evaluation
honorable service manner
placid temperament character
proud moment emotion
macabre tale emotion
acquisitive society character
large sum quantity
ingrown toenail health
low reservoir intensity
loyal friend character
long time duration
painful process manner
indulgent parent character
sardonic laughter emotion
general rule relation
simple design manner
unswerving devotion stability
cozy nook manner
extraordinary popularity intensity
usual bedtime relation
interior scene location
short life duration
credible information certainty
fair means manner
nasty mood emotion
deplorable state evaluation
heroic attack manner
moderate demand intensity
short passage dimension
overwhelming joy intensity
monumental contribution importance
unfaithful lover character
underhand method certainty
foreign accent relation
positive attitude evaluation
fundamental change importance
inconvenient place quality
bold speech character
acknowledged leader social
ineffective legislation power
willing participant character
new comet age
senior officer social
regular duty continuity
unfair trial manner
original mind manner
available information relation
functional architecture function
nasty smell emotion
extreme danger intensity
conclusive evidence certainty
critical illness intensity
happy marriage emotion
friendly person character
perpetual struggle continuity
separate church relation
moderate estimate intensity
vibrant group manner
incomplete account completeness
conventional behavior social
noble spirit manner
accurate scale accuracy
exaggerated opinion manner
other sex relation
worthy cause evaluation
fearless reporter character
false assumption quality
inadmissible evidence validity
attractive personality evaluation
flat cut dimension
improper medication quality
benign smile evaluation
active volcano function
complete meal completeness
critical element importance
dashing hero manner
different side relation
slight evidence importance
bad choice evaluation
great multitude intensity
consummate performance quality
inconclusive evidence certainty
nice fellow evaluation
cheery hello emotion
whole attention completeness
ultimate destiny intensity
longtime dream duration
nice gesture evaluation
common nuisance relation
humdrum existence manner
wrong medicine quality
original approach manner
poor salary quantity
loyal supporter character
direct contact relation
responsible journalism manner
outstanding fact manner
evil purpose evaluation
longstanding claim duration
longstanding reputation duration
common parlance social
sound thrashing intensity
massive increase intensity
sacred mosque social
right decision quality
individual page relation
external concern manner
direct hit relation
pleasant evening evaluation
desperate illness intensity
ill-gotten gain validity
common brand relation
familiar song relation
amusing speaker emotion
bad review evaluation
slim chance intensity
beautiful child appearance
wrong information quality
obvious error certainty
typical case relation
wild goose naturalness
low supply quantity
continuous row continuity
abundant supply quantity
uncommon character relation
miniature camera dimension
exciting account emotion
careful research manner
long friendship duration
false testimony quality
free enterprise social
solitary walk social
internal organ location
miscellaneous crowd relation
dramatic rescue emotion
somber mood emotion
gruff manner character
intense desire intensity
special permission relation
crucial information importance
raw deal manner
puzzling statement manner
drab life manner
comprehensive education completeness
precious memory evaluation
mute child health
uncertain consequence certainty
wrong paper quality
fine weave texture
essential feature importance
general term relation
unfair advantage manner
long word dimension
acid comment emotion
available candidate relation
double-edged sword shape
brusque manner character
torrential rain intensity
unchangeable fact stability
fine grain texture
gallant warrior character
mindless violence manner
gluttonous appetite intensity
successful architect power
perfect reproduction quality
pleasant sensation evaluation
dormant volcano function
attractive illustration evaluation
sacred calling evaluation
impure thought manner
plenary session completeness
general reader relation
tall ship dimension
original music manner
fair deal manner
ambitious schedule manner
haphazard system manner
enjoyable company emotion
idyllic life manner
