adjective noun attribute status
verbotswidrig Parken Gültigkeit free
unzulässig Parken Gültigkeit free
legitim Ehe Gültigkeit free
rechtmäßig Ehefrau Gültigkeit free
rechtmäßig Inlandsaufenthalt Gültigkeit free
rechtmäßig Ehe Gültigkeit free
rechtmäßig Nachfolger Gültigkeit free
illegal Betäubungsmittel Gültigkeit free
illegal Droge Gültigkeit free
legal Droge Gültigkeit free
illegal Herstellung Gültigkeit free
illegal Bauen Gültigkeit free
illegal Fischen Gültigkeit free
illegal Versand Gültigkeit free
illegal Jagd Gültigkeit free
legal Jagd Gültigkeit free
illegal Werbung Gültigkeit free
legal Werbung Gültigkeit free
illegal Veröffentlichung Gültigkeit free
illegal Unternehmen Gültigkeit free
illegal Bau Gültigkeit free
illegal Industrie Gültigkeit free
illegal Transport Gültigkeit free
illegal Geschäft Gültigkeit free
legal Geschäft Gültigkeit free
illegal Strafe Gültigkeit free
illegal Besitz Gültigkeit free
legal Besitz Gültigkeit free
illegal Bestrafung Gültigkeit free
illegal Zwangsmaßnahmen Gültigkeit free
illegal Inhaftierung Gültigkeit free
illegal Musik Gültigkeit free
illegal Gefangenschaft Gültigkeit free
illegal Bewegung Gültigkeit free
illegal Manöver Gültigkeit free
illegal Strom Gültigkeit free
illegal Verfolgung Gültigkeit free
illegal Rückkehr Gültigkeit free
illegal Geschwindigkeit Gültigkeit free
illegal Einwanderung Gültigkeit free
illegal Migration Gültigkeit free
legal Migration Gültigkeit free
illegal Auswanderung Gültigkeit free
illegal Lieferung Gültigkeit free
illegal Operation Gültigkeit free
illegal Verhalten Gültigkeit free
unrechtmäßige Einmischung Gültigkeit free
illegal Bestimmung Gültigkeit free
illegal Verbreitung Gültigkeit free
illegal Aufführung Gültigkeit free
illegal Organisation Gültigkeit free
illegal Verhalten Gültigkeit free
illegal Arbeit Gültigkeit free
illegal Handlung Gültigkeit free
illegal Hilfe Gültigkeit free
illegal Praxis Gültigkeit free
legal Praxis Gültigkeit free
illegal Beschäftigung Gültigkeit free
illegal Konsum Gültigkeit free
illegal Kontrolle Gültigkeit free
illegal Bildung Gültigkeit free
illegal Quelle Gültigkeit free
illegal Versuch Gültigkeit free
illegal Prozess Gültigkeit free
illegal Unterstützung Gültigkeit free
illegal Markt Gültigkeit free
illegal Nachfrage Gültigkeit free
illegal Durchsuchung Gültigkeit free
illegal Entwicklung Gültigkeit free
illegal Bewertung Gültigkeit free
illegal Verhalten Gültigkeit free
illegal Ausreise Gültigkeit free
illegal Strom Gültigkeit free
illegal Entsorgung Gültigkeit free
mächtig Waffen Funktionalität free
leistungsstark Munition Funktionalität free
stark Rauschmittel Funktionalität collocation
stark Anästhetikum Funktionalität collocation
stark Medikament Funktionalität collocation
geladen Pistole Funktionalität free
automatisch Pistole Funktionalität free
explodierend Munition Funktionalität free
genutzt Gleis Funktionalität free
automatisiert Schaltgetriebe Funktionalität free
wiederverwendbare Tasche Funktionalität free
stark Rum Funktionalität collocation
stark Alkohol Funktionalität collocation
kräftig Wein Funktionalität collocation
stark Wodka Funktionalität collocation
stark Likör Funktionalität collocation
stark Branntwein Funktionalität collocation
stark Schmerzmittel Funktionalität collocation
