adj	noun	attribute
stark	Willen	Charakter
stürmisch	Temperament	Charakter
sicher	Auftreten	Charakter
zart	Kinderseele	Charakter
zart	Seele	Charakter
zart	Gemüt	Charakter
hart	Arbeiter	Charakter
hart	Kerl	Charakter
hart	Kritiker	Charakter
hart	Mann	Charakter
rau	Bursche	Charakter
rau	Geselle	Charakter
rau	Kerl	Charakter
stark	Frau	Charakter
stark	Persönlichkeit	Charakter
stürmisch	Liebhaber	Charakter
wild	Geselle	Charakter
wild	Jäger	Charakter
wild	Reiter	Charakter
wild	Weib	Charakter
zäh	Verhandlungspartner	Charakter
frech	Papagei	Charakter
freundlich	Junge	Charakter
freundlich	Kerl	Charakter
freundlich	Frau	Charakter
freundlich	Mann	Charakter
freundlich	Hund	Charakter
freundlich	Kater	Charakter
freundlich	Arbeiter	Charakter
aggressiv	Hund	Charakter
aggressiv	Junge	Charakter
aggressiv	Kerl	Charakter
aggressiv	Frau	Charakter
aggressiv	Kater	Charakter
sanft	Gemüt	Charakter
sanft	Wesen	Charakter
sanft	Seele	Charakter
frech	Bursche	Charakter
frech	Eindringling	Charakter
frech	Gör	Charakter
frech	Göre	Charakter
frech	Junge	Charakter
frech	Kerl	Charakter
frech	Kater	Charakter
stark	Stellung	Kraft
stark	Auftritt	Kraft
stark	Leistung	Kraft
stark	Vorstellung	Kraft
mächtig	Stamm	Kraft
stark	Fraktion	Kraft
stark	Gruppe	Kraft
stark	Liga	Kraft
stark	Lobby	Kraft
stark	Macht	Kraft
stark	Mannschaft	Kraft
stark	Minderheit	Kraft
stark	Partei	Kraft
stark	Staat	Kraft
stark	Verband	Kraft
stark	Marke	Kraft
stark	Position	Kraft
stark	Argument	Kraft
stark	Spieler	Kraft
stark	Opposition	Kraft
einflussreich	Familie	Kraft
einflussreich	Gruppe	Kraft
einflussreich	Interessengruppe	Kraft
einflussreich	Kartell	Kraft
einflussreich	Konzern	Kraft
einflussreich	Lobby	Kraft
einflussreich	Lobbygruppe	Kraft
einflussreich	Militär	Kraft
einflussreich	Militärbündnis	Kraft
einflussreich	Nation	Kraft
einflussreich	Organisation	Kraft
einflussreich	Figur	Kraft
einflussreich	Frau	Kraft
mächtig	Einfluss	Kraft
mächtig	Block	Kraft
mächtig	Armee	Kraft
mächtig	Clan	Kraft
mächtig	Familie	Kraft
mächtig	Geheimdienst	Kraft
mächtig	Gewerkschaft	Kraft
karg	Ausstattung	Menge
reich	Quelle	Menge
reich	Ausbeute	Menge
reich	Beute	Menge
reich	Bodenschatz	Menge
reich	Ernte	Menge
reich	Ertrag	Menge
reich	Material	Menge
reich	Sammlung	Menge
knapp	Kalkulation	Menge
reich	Erfahrung	Menge
reich	Erfahrungsschatz	Menge
reich	Fundus	Menge
reich	Kultur	Menge
reich	Repertoire	Menge
reich	Tradition	Menge
reich	Inhalt	Menge
reich	Literatur	Menge
knapp	Drittel	Menge
knapp	Dutzend	Menge
knapp	Hälfte	Menge
knapp	Viertel	Menge
reich	Angebot	Menge
reich	Bestand	Menge
