adjective noun attribute
blank Fußboden Oberfläche
blank Betonboden Oberfläche
blank Fenster Oberfläche
blank Reifen Oberfläche
blank Tisch Oberfläche
blank Teil Oberfläche
blank Münze Oberfläche
blind Rundbogenfenster Oberfläche
blind Tür Oberfläche
blind Fensterscheibe Oberfläche
bitter Schluss Emotion
bitter Finale Emotion
bitter Feststellung Emotion
bitter Ergebnis Emotion
bitter Resultat Emotion
bitter Ausgang Emotion
bitter Wahlergebnis Emotion
bitter Nachgeschmack Emotion
bitter Befund Emotion
bitter Trauer Intensität
bitter Melancholie Intensität
bitter Ernüchterung Intensität
bitter Gram Intensität
bitter Szene Emotion
bitter Angelegenheit Emotion
bitter Fall Emotion
bitter Überraschung Emotion
bitter Situation Intensität
bitter Alltag Intensität
bitter Ereignis Intensität
bitter Rivalität Intensität
bitter Empfindung Emotion
bitter Schmerz Emotion
bitter Freude Emotion
bitter Kummer Emotion
bitter Leid Emotion
bitter Auswärtsniederlage Intensität
bitter Wahlniederlage Intensität
bitter Finalniederlage Intensität
bitter Schlappe Intensität
bitter Punktverlust Intensität
bitter Zug Emotion
bitter Unschuld Emotion
bitter Zynismus Emotion
bitter Frost Intensität
bitter Kontroverse Intensität
bitter Tonfall Intensität
bitter Film Emotion
bitter Tragödie Emotion
bitter Gelächter Emotion
bitter Umstand Emotion
bitter Beigeschmack Emotion
bitter Botschaft Emotion
bitter Antwort Emotion
bitter Hungersnot Intensität
bitter Hunger Intensität
bitter Elend Intensität
bitter Pflicht Intensität
bitter Substanz Emotion
bitter Faktum Emotion
bitter Galle Intensität
bitter Art Intensität
bitter Weise Intensität
bitter Qualität Intensität
bitter Ausfall Intensität
bitter Frage Emotion
bitter Aussage Emotion
blank Kapitalismus Intensität
blank Grauen Intensität
blank Existenzangst Intensität
blank Schrecken Intensität
blank Emotion Intensität
blank Empörung Intensität
blank Freude Intensität
blank Staunen Intensität
blank Witz Gewissheit
blank Mordlust Gewissheit
blank Geldgier Gewissheit
blank Ekel Gewissheit
blank Verachtung Gewissheit
blank Hass Gewissheit
blank Ironie Gewissheit
blank Wissen Intensität
blank Humbug Intensität
blank Blödsinn Intensität
blank Nonsens Intensität
blank Unfug Intensität
blank Wahrheit Gewissheit
blank Text Gewissheit
blank Antisemitismus Gewissheit
blank Tatsache Gewissheit
blank Gewalt Gewissheit
blank Ignoranz Intensität
blank Dummheit Intensität
blind Art Art&Weise
blind Schütze Gesundheit
blind Verkehrsteilnehmer Gesundheit
blind Zeuge Gesundheit
blind Reisender Gesundheit
blind Interessent Gesundheit
blind Teilnehmer Gesundheit
blind Benutzer Gesundheit
blind Nutzer Gesundheit
blind Nutzerin Gesundheit
blind Sportler Gesundheit
blind Sportlerin Gesundheit
blind Besucher Gesundheit
blind Besucherin Gesundheit
blind Wählerin Gesundheit
blind Kämpfer Gesundheit
blind Hörer Gesundheit
blind Leser Gesundheit
blind Gläubiger Gesundheit
blind Künstler Gesundheit
blind Gast Gesundheit
blind Partner Gesundheit
blind Anwalt Gesundheit
leicht Kühlung Intensität
leicht Unterkühlung Intensität
leicht Erwärmung Intensität
leicht Temperaturanstieg Intensität
leicht Milderung Intensität
leicht Dämpfung Intensität
leicht Reduktion Intensität
leicht Reduzierung Intensität
leicht Verminderung Intensität
leicht Verringerung Intensität
leicht Abstrich Intensität
leicht Einschränkung Intensität
leicht Abzug Intensität
leicht Absenkung Intensität
leicht Senkung Intensität
blind Kraft Intensität
blind Senior Gesundheit
blind Seniorin Gesundheit
blind Großmutter Gesundheit
blind Hass Intensität
blind Hündin Gesundheit
blind Rüde Gesundheit
blind Kleinkind Gesundheit
blind Säugling Gesundheit
blind Erwachsener Gesundheit
blind Jugendlicher Gesundheit
blind Feuer Intensität
blind Hingabe Intensität
blind Verliebtheit Intensität
leicht Montagearbeit Art&Weise
leicht Graben Art&Weise
leicht Fräsarbeit Art&Weise
leicht Tätigkeit Art&Weise
leicht Büroarbeit Art&Weise
leicht Bürotätigkeit Art&Weise
leicht Gartenarbeit Art&Weise
leicht Hausarbeit Art&Weise
leicht Handarbeit Art&Weise
leicht Dienst Art&Weise
leicht Handlung Art&Weise
leicht Aktivität Art&Weise
leicht Störung Art&Weise
leicht Ausrichtung Art&Weise
leicht Mischung Art&Weise
leicht Eingriff Art&Weise
leicht Führung Art&Weise
leicht Einstellung Art&Weise
leicht Beschäftigung Art&Weise
leicht Lesen Art&Weise
leicht Treffen Art&Weise
leicht Abnahme Art&Weise
leicht Sendung Art&Weise
leicht Abgang Art&Weise
leicht Reinigung Art&Weise
leicht Versatz Art&Weise
leicht Verkleidung Art&Weise
leicht Einsatz Art&Weise
leicht Einarbeitung Art&Weise
leicht Zug Art&Weise
leicht Ziehen Art&Weise
leicht Schritt Art&Weise
leicht Sport Art&Weise
leicht Sportart Art&Weise
leicht Verbindung Art&Weise
leicht Vorlage Art&Weise
leicht Halt Art&Weise
leicht Bewegung Art&Weise
leicht Geste Art&Weise
leicht Beschädigung Art&Weise
leicht Reaktion Art&Weise
leicht Spiel Art&Weise
leicht Öffnung Art&Weise
leicht Kontaktaufnahme Art&Weise
leicht Hilfe Art&Weise
leicht Verbrechen Art&Weise
leicht Straftat Art&Weise
leicht Delikt Art&Weise
leicht Tun Art&Weise
leicht Suche Art&Weise
leicht Anwendung Art&Weise
leicht Auftrag Art&Weise
leicht Fressen Art&Weise
leicht Betätigung Art&Weise
leicht Einrichtung Art&Weise
blind Person Gesundheit
blind User Gesundheit
blind Mitmensch Gesundheit
blind Musikerin Gesundheit
blind Komponist Gesundheit
blind Tänzerin Gesundheit
blind Fotograf Gesundheit
blind Fotografin Gesundheit
blind Maler Gesundheit
blind Bildhauer Gesundheit
blind Fahrgast Gültigkeit
blind Pianistin Gesundheit
blind Harfenist Gesundheit
blind Organist Gesundheit
blind Gitarrist Gesundheit
blind Guardian Gesundheit
blind Surfer Gesundheit
blind Schicksal Intensität
grob Tisch Beschaffenheit
deftig Schlappe Intensität
grob Raspel Beschaffenheit
grob Geflecht Beschaffenheit
grob Spiel Beschaffenheit
grob Teil Beschaffenheit
grob Kern Beschaffenheit
grob Klotz Beschaffenheit
grob Brett Beschaffenheit
grob Zeug Beschaffenheit
grob Streifen Beschaffenheit
grob Darstellung Beschaffenheit
grob Schutz Beschaffenheit
grob Abbildung Beschaffenheit
leicht Reisegepäck Gewicht
leicht Handgepäck Gewicht
leicht Marschgepäck Gewicht
leicht Haltung Gewicht
deftig Standpauke Intensität
deftig Ausdruck Art&Weise
deftig Weise Art&Weise
deftig Geldstrafe Intensität
deftig Fluch Intensität
deftig Antwort Intensität
blind Enthusiasmus Art&Weise
blind Verlangen Art&Weise
blind Raserei Art&Weise
blind Angst Art&Weise
blind Hoffnung Art&Weise
leicht Lastkraftwagen Gewicht
leicht Lkw Gewicht
leicht Motorfahrzeug Gewicht
leicht Automobil Gewicht
leicht Auto Gewicht
leicht Kraftfahrzeug Gewicht
leicht Wagen Gewicht
leicht Motorwagen Gewicht
leicht Geländewagen Gewicht
leicht Flitzer Gewicht
leicht Personenkraftwagen Gewicht
leicht Personenwagen Gewicht
leicht Tourenwagen Gewicht
leicht Elektroauto Gewicht
leicht Sportwagen Gewicht
leicht Rennwagen Gewicht
leicht Transporter Gewicht
leicht Kiste Gewicht
leicht Dampfwagen Gewicht
leicht Lieferwagen Gewicht
leicht Bus Gewicht
leicht Fahrzeug Gewicht
leicht Gefährt Gewicht
leicht Geländefahrzeug Gewicht
leicht Zweisitzer Gewicht
leicht Transportfahrzeug Gewicht
leicht Elektrofahrzeug Gewicht
leicht Maschine Gewicht
leicht Fluggerät Gewicht
leicht Bahn Gewicht
leicht Panzerfahrzeug Gewicht
leicht Militärfahrzeug Gewicht
leicht Einsitzer Gewicht
tief Bassstimme Ton
tief Basslauf Ton
tief Tonlage Ton
tief Singstimme Ton
tief Sopran Ton
tief Bariton Ton
tief Alt Ton
tief Altstimme Ton
tief Bass Ton
tief Organ Ton
tief Schachtbrunnen Dimension
tief Burgbrunnen Dimension
tief Bergwerk Dimension
tief Mine Dimension
tief Stollen Dimension
tief Gewölbe Dimension
tief Keller Dimension
tief Band Dimension
mild Gesinnung Art&Weise
mild Stimme Art&Weise
bitter Eigengeschmack Geschmack
bitter Aroma Geschmack
bitter Süße Geschmack
bitter Säure Geschmack
bitter Geruch Geschmack
schlau Zeitung Art&Weise
leicht Zungenschlag Intensität
leicht Dialekt Intensität
leicht Tonfall Intensität
grob Beurteilung Genauigkeit
grob Bestimmung Genauigkeit
grob Bewertung Genauigkeit
grob Verkennung Genauigkeit
grob Geschmack Genauigkeit
grob Auswertung Genauigkeit
grob Gedanke Genauigkeit
grob Meinung Genauigkeit
grob Idee Genauigkeit
grob Überlegung Genauigkeit
grob Prinzip Genauigkeit
grob Stimme Genauigkeit
grob Dummheit Intensität
grob Übersetzungsfehler Intensität
grob Rechtsfehler Intensität
grob Denkfehler Intensität
grob Abspielfehler Intensität
grob Planungsfehler Intensität
grob Messfehler Intensität
grob Kunstfehler Intensität
grob Stellungsfehler Intensität
grob Rechenfehler Intensität
grob Schwäche Intensität
grob Bug Intensität
grob Unstimmigkeit Intensität
grob Anhalt Genauigkeit
grob Richtschnur Genauigkeit
grob Eckdatum Genauigkeit
grob Punkt Genauigkeit
grob Maßstab Genauigkeit
grob Detail Genauigkeit
grob Grundlage Genauigkeit
grob Näherung Genauigkeit
grob Approximation Genauigkeit
grob Schmähung Intensität
grob Körperverletzung Intensität
grob Belästigung Intensität
grob Gliederung Genauigkeit
grob Klassifizierung Genauigkeit
grob Klassifikation Genauigkeit
grob Kategorisierung Genauigkeit
grob Einordnung Genauigkeit
grob Unterteilung Genauigkeit
grob Abstufung Genauigkeit
grob Zusammenfassung Genauigkeit
grob Zusammenstellung Genauigkeit
grob Einstufung Genauigkeit
grob Typisierung Genauigkeit
grob Ordnung Genauigkeit
grob Zuordnung Genauigkeit
grob Veränderung Intensität
grob Änderung Intensität
grob Filterung Intensität
grob Trennung Intensität
grob Unfähigkeit Intensität
grob Regel Genauigkeit
grob Leitlinie Genauigkeit
grob Richtlinie Genauigkeit
grob Konsens Genauigkeit
grob Unterschätzung Intensität
grob Einschätzung Intensität
grob Überschlag Intensität
grob Kostenschätzung Intensität
grob Konzept Intensität
grob Kategorie Intensität
grob Angelegenheit Intensität
grob Begriff Intensität
grob Abweichung Intensität
grob Sinn Intensität
grob Blödsinn Intensität
grob Mist Intensität
grob Schwachsinn Intensität
grob Beispiel Intensität
grob Modell Intensität
grob Verhalten Intensität
grob Umgangsform Intensität
grob Sitte Intensität
grob Angriff Intensität
grob Zug Beschaffenheit
grob Design Beschaffenheit
grob Manipulation Intensität
grob Einwirkung Intensität
grob Missverständnis Intensität
grob Art Beschaffenheit
grob Möglichkeit Beschaffenheit
grob Unregelmäßigkeit Beschaffenheit
grob Unverschämtheit Beschaffenheit
grob Technik Beschaffenheit
grob Fehlerhaftigkeit Beschaffenheit
grob Qualität Beschaffenheit
