adjective noun attribute
blank Blech Oberfläche
blank Degen Oberfläche
blank Felge Oberfläche
blank Holztisch Oberfläche
blank Klinge Oberfläche
blank Knopf Oberfläche
blank Messer Oberfläche
blank Metallteil Oberfläche
blank Säbel Oberfläche
blank Schwert Oberfläche
blank Stiefel Oberfläche
blank Taler Oberfläche
blank Waffe Oberfläche
zart Faden Beschaffenheit
blank Boden Oberfläche
blank Draht Oberfläche
dunkel Anzug Helligkeit
dunkel Brille Helligkeit
dunkel Flur Helligkeit
dunkel Gang Helligkeit
dunkel Gasse Helligkeit
dunkel Glas Helligkeit
dunkel Hemd Helligkeit
dunkel Hose Helligkeit
dunkel Jacke Helligkeit
dunkel Jackett Helligkeit
dunkel Jeans Helligkeit
dunkel Kleid Helligkeit
dunkel Kleidung Helligkeit
dunkel Korridor Helligkeit
blind Fenster Oberfläche
blind Scheibe Oberfläche
blind Spiegel Oberfläche
dunkel Kostüm Helligkeit
dunkel Krawatte Helligkeit
dunkel Limousine Helligkeit
dunkel Mantel Helligkeit
dunkel Raum Helligkeit
dunkel Saal Helligkeit
dunkel Sonnenbrille Helligkeit
dunkel Straße Helligkeit
dunkel Tunnel Helligkeit
dunkel Verlies Helligkeit
dunkel Zimmer Helligkeit
leicht Gepäck Gewicht
deftig Klatsche Intensität
leicht Lastwagen Gewicht
leicht Nutzfahrzeug Gewicht
rau Papier Oberfläche
rau Piste Oberfläche
rau Wand Oberfläche
rund Ball Form
rund Becken Form
rund Bogen Form
rund Brille Form
rund Brillenglas Form
rund Dach Form
rund Deckel Form
rund Doppelscheinwerfer Form
rund Dose Form
rund Erker Form
rund Fenster Form
rund Gehäuse Form
rund Grundriß Form
rund Heck Form
rund Holztisch Form
rund Hornbrille Form
rund Hut Form
rund Hütte Form
rund Kappe Form
rund Kissen Form
rund Knopf Form
rund Kuppel Form
rund Mütze Form
rund Platte Form
rund Podest Form
rund Raum Form
rund Saal Form
rund Schale Form
rund Scheibe Form
rund Scheinwerfer Form
rund Schild Form
rund Sonnenbrille Form
rund Spiegel Form
rund Tafel Form
rund Tischchen Form
rund Turm Form
scharf Klinge Form
scharf Messer Form
scharf Schwert Form
scharf Waffe Form
schwarz Anzug Farbe
schwarz Balken Farbe
schwarz Brille Farbe
schwarz Fahne Farbe
schwarz Flagge Farbe
schwarz Gewand Farbe
schwarz Hemd Farbe
schwarz Hose Farbe
schwarz Hut Farbe
schwarz Jacke Farbe
schwarz Jeans Farbe
schwarz Kasten Farbe
schwarz Kleid Farbe
schwarz Kleidung Farbe
schwarz Kostüm Farbe
schwarz Lederjacke Farbe
schwarz Limousine Farbe
schwarz Mantel Farbe
schwarz Maske Farbe
schwarz Robe Farbe
schwarz Rock Farbe
schwarz Schuh Farbe
schwarz Sonnenbrille Farbe
schwarz Stein Farbe
schwarz Stiefel Farbe
schwarz Tinte Farbe
schwarz T-Shirt Farbe
schwarz Tuch Farbe
schwarz Umhang Farbe
schwarz Uniform Farbe
schwarz Vorhang Farbe
steil Abstieg Dimension
steil Bergstraße Dimension
steil Dach Dimension
steil Gasse Dimension
steil Giebel Dimension
steil Heckklappe Dimension
steil Holztreppe Dimension
steil Kurve Dimension
steil Pfad Dimension
steil Piste Dimension
steil Rampe Dimension
steil Rinne Dimension
steil Rolltreppe Dimension
steil Satteldach Dimension
steil Serpentine Dimension
steil Steintreppe Dimension
steil Stiege Dimension
steil Straße Dimension
steil Stufe Dimension
steil Treppe Dimension
steil Tribüne Dimension
steil Waldweg Dimension
steil Weg Dimension
steil Wendeltreppe Dimension
süß Zeug Geschmack
dunkel Kanal Gewissheit
tief Brunnen Dimension
zart Schleier Beschaffenheit
frei Betriebssystem Gesellschaft
frei Software Gesellschaft
historisch Bau Zeit
historisch Bausubstanz Zeit
historisch Bauwerk Zeit
historisch Gebäude Zeit
herrlich Allee Bewertung
herrlich Bild Bewertung
herrlich Gemälde Bewertung
historisch Instrument Zeit
herrlich Kostüm Bewertung
herrlich Melodie Bewertung
herrlich Musik Bewertung
herrlich Palast Bewertung
historisch Rathaus Zeit
herrlich Spielzeug Bewertung
herrlich Terrasse Bewertung
herrlich Villa Bewertung
karg Behausung Art&Weise
karg Bühnenbild Art&Weise
karg Ausstattung Menge
hölzern Aussichtsplattform Material
hölzern Aussichtsturm Material
hölzern Balken Material
hölzern Balkon Material
hölzern Balustrade Material
hölzern Baracke Material
hölzern Boot Material
hölzern Brücke Material
hölzern Dachkonstruktion Material
hölzern Dachstuhl Material
hölzern Decke Material
hölzern Einbau Material
hölzern Eingangstor Material
hölzern Eingangstür Material
hölzern Fensterladen Material
hölzern Fensterrahmen Material
hölzern Fußboden Material
hölzern Geländer Material
hölzern Gerüst Material
hölzern Gestell Material
hölzern Glockenturm Material
hölzern Griff Material
hölzern Handlauf Material
hölzern Hütte Material
hölzern Kanzel Material
hölzern Karren Material
hölzern Kassettendecke Material
hölzern Kasten Material
hölzern Kiste Material
hölzern Kochlöffel Material
hölzern Konstruktion Material
hölzern Kreuz Material
hölzern Kruzifix Material
hölzern Laufsteg Material
hölzern Löffel Material
hölzern Madonna Material
hölzern Maske Material
hölzern Mast Material
hölzern Palisade Material
hölzern Pavillon Material
hölzern Pfahl Material
hölzern Pflug Material
hölzern Plattform Material
hölzern Podest Material
hölzern Pritsche Material
hölzern Puppe Material
hölzern Regal Material
hölzern Sarg Material
hölzern Sarkophag Material
hölzern Schiffsrumpf Material
hölzern Schild Material
hölzern Schrein Material
hölzern Schuppen Material
hölzern Sitzbank Material
hölzern Skulptur Material
hölzern Stab Material
hölzern Stange Material
hölzern Statue Material
hölzern Steg Material
hölzern Stiege Material
hölzern Stuhl Material
hölzern Tafel Material
hölzern Terrasse Material
hölzern Tisch Material
hölzern Tischplatte Material
hölzern Tonnengewölbe Material
hölzern Trennwand Material
hölzern Treppe Material
hölzern Treppenhaus Material
hölzern Tribüne Material
hölzern Truhe Material
hölzern Tür Material
hölzern Turm Material
hölzern Veranda Material
hölzern Verschlag Material
hölzern Vorbau Material
hölzern Wachturm Material
hölzern Wagenrad Material
hölzern Wegweiser Material
hölzern Wendeltreppe Material
hölzern Zugbrücke Material
karg Interieur Art&Weise
karg Raum Art&Weise
karg Szenerie Art&Weise
karg Zimmer Art&Weise
leicht Lektüre Art&Weise
leicht Weg Art&Weise
mächtig Kirche Dimension
mächtig Bau Dimension
mächtig Gebäude Dimension
mächtig Kathedrale Dimension
mächtig Kuppel Dimension
mächtig Mauer Dimension
mächtig Pfeiler Dimension
mächtig Säule Dimension
mächtig Turm Dimension
sanft Ballade Art&Weise
sanft Lied Art&Weise
sanft Melodie Art&Weise
sanft Musik Art&Weise
sanft Rauschen Intensität
scharf Bild Genauigkeit
scharf Pistole Funktionalität
scharf Kurve Zeit
scharf Linkskurve Zeit
schlau Buch Art&Weise
schlau Büchlein Art&Weise
schlau Telefon Funktionalität
sicher Boden Sicherheit
sicher Kernkraftwerk Sicherheit
sicher Schutz Sicherheit
sicher Umgebung Sicherheit
sicher Quelle Gewissheit
sicher Verkehrsmittel Sicherheit
spät Arbeit Zeit
spät Bild Zeit
spät Schrift Zeit
spät Werk Zeit
stark Motor Funktionalität
süß Melodie Art&Weise
tief Baß Ton
tief Lage Ton
teuer Anlage Kosten
teuer Anzug Kosten
teuer Apparat Kosten
teuer Auto Kosten
teuer Bauwerk Kosten
teuer Bild Kosten
teuer Fahrzeug Kosten
teuer Film Kosten
teuer Gebäude Kosten
teuer Gemälde Kosten
teuer Gerät Kosten
teuer Gut Kosten
teuer Kamera Kosten
teuer Karte Kosten
teuer Kauf Kosten
teuer Kleid Kosten
teuer Kleidung Kosten
teuer Kunstwerk Kosten
teuer Limousine Kosten
teuer Maschine Kosten
teuer Möbel Kosten
teuer Modell Kosten
teuer Neubau Kosten
teuer Objekt Kosten
teuer Produkt Kosten
teuer Satellit Kosten
teuer Schmuck Kosten
teuer Schuh Kosten
teuer Software Kosten
teuer Spielzeug Kosten
teuer Sportwagen Kosten
teuer Technik Kosten
teuer Ticket Kosten
teuer Uhr Kosten
teuer Wagen Kosten
teuer Ware Kosten
teuer Werk Kosten
teuer Wohnung Kosten
tot Briefkasten Funktionalität
tot Gleis Funktionalität
wild Siedlung Gültigkeit
zart Aquarell Art&Weise
zart Melodie Art&Weise
zart Zeichnung Art&Weise
blank Egoismus Gewissheit
blank Terror Gewissheit
blank Willkür Gewissheit
blind Gewalt Intensität
blind Ehrgeiz Art&Weise
blind Eifer Art&Weise
blind Ergebenheit Art&Weise
blind Gefolgschaft Art&Weise
blind Gehorsam Art&Weise
deftig Humor Art&Weise
dunkel Klang Ton
dunkel Timbre Ton
dunkel Hautfarbe Helligkeit
frei Selbstbestimmung Gesellschaft
frei Zugang Gesellschaft
dunkel Schönheit Helligkeit
dunkel Teint Helligkeit
rau Fassade Oberfläche
süß Geschmack Geschmack
tief Falte Dimension
tief Stand Dimension
herrlich Ruhe Bewertung
historisch Chance Wichtigkeit
historisch Größe Wichtigkeit
historisch Hoch Wichtigkeit
herrlich Anblick Bewertung
herrlich Duft Bewertung
karg Ästhetik Art&Weise
karg Schönheit Klima
leicht Vorteil Intensität
leicht Zugang Schwierigkeit
mächtig Einfluss Kraft
rau Atmosphäre Art&Weise
rau Charme Art&Weise
rau Sound Ton
rau Schönheit Art&Weise
sanft Gemüt Charakter
sanft Anmut Art&Weise
sanft Art Art&Weise
sanft Klang Art&Weise
sanft Druck Intensität
sanft Gewalt Intensität
sanft Nachdruck Intensität
sanft Wesen Charakter
sanft Schönheit Art&Weise
sanft Zwang Intensität
sanft Weise Art&Weise
scharf Geruch Geruch
scharf Grenzwert Rigorosität
sicher Anlageform Sicherheit
sicher Alternative Sicherheit
sicher Aussicht Gewissheit
sicher Listenplatz Sicherheit
sicher Gespür Gewissheit
sicher Stand Gewissheit
sicher Zugang Gewissheit
spät Ausgleich Zeit
stark Willen Charakter
stark Anreiz Intensität
stark Stellung Kraft
stark Druck Intensität
stark Gewicht Intensität
stark Interesse Intensität
stark Präsenz Intensität
stürmisch Temperament Charakter
süß Geruch Geruch
teuer Lizenz Kosten
tief Ernst Intensität
tief Niveau Intensität
tief Sinn Intensität
tief Wahrheit Intensität
wild Durcheinander Intensität
zart Geschlecht Konstitution
zart Klang Art&Weise
zart Schönheit Art&Weise
zart Blume Intensität
zart Aroma Intensität
zart Duft Intensität
zart Farbigkeit Intensität
arm Bezirk Gesellschaft
dunkel Geschäft Gewissheit
frei Eintritt Kosten
frei Land Gesellschaft
frei Verkauf Gesellschaft
frei Verkehr Gesellschaft
frei Warenverkehr Gesellschaft
hart Geschäft Art&Weise
süß Belohnung Geschmack
herrlich Frucht Bewertung
herrlich Geschenk Bewertung
karg Auskommen Menge
karg Budget Menge
karg Einkommen Menge
karg Ernte Menge
karg Gehalt Menge
karg Lebensunterhalt Menge
karg Lohn Menge
karg Rente Menge
karg Sold Menge
leicht Beute Schwierigkeit
leicht Einbuße Intensität
leicht Geld Schwierigkeit
leicht Gewinn Intensität
leicht Minus Intensität
leicht Plus Intensität
leicht Umsatzplus Intensität
leicht Verlust Intensität
rund Summe Vollständigkeit
sicher Anlage Sicherheit
sicher Einkommen Gewissheit
sicher Einnahmequelle Gewissheit
sicher Investment Sicherheit
sicher Rente Sicherheit
sicher Geldanlage Gewissheit
sicher Staatsanleihe Sicherheit
sicher Rendite Gewissheit
sicher Wahlkreis Gewissheit
stark Einbuße Intensität
stark Kursverlust Intensität
stark Verlust Intensität
stark Währung Stabilität
steil Preisanstieg Intensität
teuer Anschaffung Kosten
teuer Einkauf Kosten
teuer Geld Kosten
teuer Geschenk Kosten
teuer Immobilie Kosten
teuer Investition Kosten
teuer Kredit Kosten
teuer Miete Kosten
teuer Übernahme Kosten
teuer Zukauf Kosten
tot Kapital Funktionalität
dunkel Seite Bewertung
frei Kapazität Vollständigkeit
dunkel Blau Helligkeit
dunkel Farbe Helligkeit
dunkel Fleck Helligkeit
dunkel Flecken Helligkeit
dunkel Grün Helligkeit
dunkel Ring Helligkeit
dunkel Rot Helligkeit
dunkel Streifen Helligkeit
dunkel Ton Helligkeit
zart Gestalt Beschaffenheit
rund Auge Form
rund Ecke Form
rund Fläche Form
rund Fleck Form
rund Form Form
rund Kugel Form
rund Querschnitt Form
rund Vertiefung Form
schwarz Farbe Farbe
schwarz Fleck Farbe
schwarz Flecken Farbe
schwarz Streifen Farbe
schwarz Strich Farbe
steil Anhöhe Dimension
steil Höhe Dimension
steil Winkel Dimension
steil Zinsstrukturkurve Dimension
tief Einschnitt Dimension
tief Furche Dimension
tief Graben Dimension
tief Grube Dimension
tief Riß Dimension
herrlich Farbe Bewertung
hölzern Wandverkleidung Material
leicht Erhöhung Intensität
mächtig Gestalt Dimension
mächtig Block Kraft
rau Mischung Art&Weise
rund Buckel Form
sanft Anhöhe Intensität
sanft Bogen Intensität
sanft Farbe Intensität
sanft Pastellton Intensität
sanft Rundung Intensität
sanft Ton Intensität
scharf Einschnitt Form
scharf Kante Form
scharf Kante Form
scharf Kontur Genauigkeit
tief Blau Intensität
wild Mischung Intensität
zart Statur Konstitution
zart Blau Intensität
zart Farbe Intensität
zart Grün Intensität
zart Pastellton Intensität
zart Rosa Intensität
zart Rot Intensität
blank Angst Intensität
blank Elend Intensität
blank Entsetzen Intensität
blank Furcht Intensität
blank Gier Gewissheit
blank Haß Gewissheit
blank Hohn Gewissheit
blank Horror Intensität
blank Hysterie Intensität
blank Neid Gewissheit
blank Panik Intensität
blank Verzweiflung Intensität
blank Wut Intensität
blank Zorn Intensität
blind Haß Intensität
blind Wut Intensität
blind Zerstörungswut Intensität
blind Zorn Intensität
blind Begeisterung Art&Weise
blind Eifersucht Art&Weise
blind Fanatismus Art&Weise
blind Gier Art&Weise
blind Liebe Art&Weise
blind Optimismus Art&Weise
blind Vertrauen Art&Weise
dunkel Ahnung Bewertung
dunkel Vorahnung Bewertung
frei Liebe Gesellschaft
herrlich Gefühl Bewertung
herrlich Spaß Bewertung
mächtig Auftrieb Intensität
sanft Melancholie Art&Weise
sanft Spott Intensität
sicher Gefühl Sicherheit
sicher Instinkt Gewissheit
spät Genugtuung Zeit
spät Glück Zeit
stark Engagement Intensität
stark Gefühl Intensität
stark Zweifel Intensität
stürmisch Leidenschaft Art&Weise
stürmisch Liebe Art&Weise
stürmisch Begeisterung Intensität
süß Melancholie Emotion
teuer Vergnügen Kosten
tief Abneigung Intensität
tief Bedauern Intensität
tief Bedürfnis Intensität
tief Befriedigung Intensität
tief Besorgnis Intensität
tief Betroffenheit Intensität
tief Dankbarkeit Intensität
tief Enttäuschung Intensität
tief Gefühl Intensität
tief Genugtuung Intensität
tief Liebe Intensität
tief Melancholie Intensität
tief Mißtrauen Intensität
tief Mitgefühl Intensität
tief Not Intensität
tief Schmerz Intensität
tief Sehnsucht Intensität
tief Sorge Intensität
tief Trauer Intensität
tief Traurigkeit Intensität
tief Überzeugung Intensität
tief Verunsicherung Intensität
tief Verzweiflung Intensität
tief Zuneigung Intensität
wild Leidenschaft Art&Weise
wild Wut Intensität
zart Empfindung Art&Weise
zart Gefühl Art&Weise
zart Liebe Art&Weise
zart Melancholie Art&Weise
zart Hoffnung Intensität
arm Elternhaus Gesellschaft
arm Verhältnis Gesellschaft
blank Not Intensität
blank Unsinn Intensität
blank Zufall Intensität
blind Zufall Intensität
blind Nachahmung Art&Weise
blind Rache Art&Weise
blind Wüten Art&Weise
deftig Heimniederlage Intensität
deftig Niederlage Intensität
deftig Strafe Intensität
deftig Wortwahl Art&Weise
dunkel Machenschaft Gewissheit
frei Arztwahl Gesellschaft
frei Auswahl Gesellschaft
frei Beruf Gesellschaft
frei Wahl Gesellschaft
frei Entfaltung Art&Weise
frei Training Art&Weise
hart Alltag Art&Weise
hart Arbeit Art&Weise
hart Durchgreifen Art&Weise
hart Attacke Intensität
hart Einsatz Art&Weise
hart Auflage Rigorosität
hart Auseinandersetzung Intensität
hart Bestrafung Intensität
hart Bewährungsprobe Intensität
hart Einschnitt Intensität
hart Geduldsprobe Intensität
hart Gangart Art&Weise
hart Kampf Intensität
hart Konfrontation Intensität
hart Konkurrenzkampf Intensität
hart Job Art&Weise
hart Konsequenz Art&Weise
hart Rennen Schwierigkeit
hart Preiskampf Intensität
hart Preiswettbewerb Intensität
hart Probe Intensität
hart Sanktion Intensität
hart Schlag Intensität
hart Schuß Intensität
hart Sparprogramm Rigorosität
hart Strafe Intensität
hart Los Art&Weise
hart Verdrängungswettbewerb Intensität
hart Reaktion Art&Weise
hart Vorwurf Intensität
hart Wahlkampf Intensität
hart Sanierung Art&Weise
hart Schnitt Art&Weise
hart Sparmaßnahme Art&Weise
hart Wettbewerb Intensität
hart Training Art&Weise
hart Zweikampf Intensität
hart Weg Art&Weise
dunkel Schatten Helligkeit
herrlich Flanke Bewertung
schwarz Schatten Farbe
steil Abfahrt Dimension
herrlich Kopfball Bewertung
herrlich Parodie Bewertung
steil Paß Dimension
herrlich Paß Bewertung
tief Sturz Dimension
tief Verbeugung Dimension
zart Strich Beschaffenheit
